search_city,search_cuisine,y_id,name,image_url,url,closed,review_count,rating,price,lat,long,add1,city,state,zip_code,country,disp_ph
"Denver, Colorado",American,svJWwW0ilssyqk_UML0mUg,Work & Class,https://s3-media2.fl.yelpcdn.com/bphoto/wknJ1nD0jTQssiXfW-tjFQ/o.jpg,https://www.yelp.com/biz/work-and-class-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,1409,4.5,$$,39.75761,-104.98604,2500 Larimer St,Denver,CO,80205,US,(303) 292-0700
"Denver, Colorado",American,CQNv4SXqFltcwNsx-qHbLQ,Steuben's Uptown,https://s3-media2.fl.yelpcdn.com/bphoto/iPEj2KIB41JR844HgsWXyQ/o.jpg,https://www.yelp.com/biz/steubens-uptown-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,2652,4.0,$$,39.74349,-104.98017,523 E 17th Ave,Denver,CO,80203,US,(303) 830-1001
"Denver, Colorado",American,guaRJIAwPzbHZ09G3hX31g,Acorn - Denver,https://s3-media1.fl.yelpcdn.com/bphoto/XHkLqDY-eUg4yyjI32_m3Q/o.jpg,https://www.yelp.com/biz/acorn-denver-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,1030,4.5,$$,39.768648,-104.979813,3350 Brighton Blvd,Denver,CO,80216,US,(720) 542-3721
"Denver, Colorado",American,LRyRNUWVSZ8NXPuCzTrfpA,Union Lodge No.1,https://s3-media2.fl.yelpcdn.com/bphoto/oQcctWaIVGkoE1pKGlHA6Q/o.jpg,https://www.yelp.com/biz/union-lodge-no-1-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,538,5.0,$$,39.74627,-104.99462,1543 Champa St,Denver,CO,80202,US,(720) 389-0447
"Denver, Colorado",American,Kjmtip2htzyZNjXbegxfYg,Chop Shop Casual Urban Eatery Colfax,https://s3-media4.fl.yelpcdn.com/bphoto/e7Ml67c1Pa8LDEn2tt6miQ/o.jpg,https://www.yelp.com/biz/chop-shop-casual-urban-eatery-colfax-denver-7?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,1038,4.5,$$,39.73987,-104.92935,4990 E Colfax Ave,Denver,CO,80220,US,(720) 550-7665
"Denver, Colorado",American,k9ves6vjkIOWFrNA-Kucrg,Foraged,https://s3-media2.fl.yelpcdn.com/bphoto/9RP-JxewhGK7pBZb3cX9RA/o.jpg,https://www.yelp.com/biz/foraged-denver-2?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,27,4.0,,39.75293,-104.99637,1825 Blake St,Denver,CO,80202,US,(720) 826-2147
"Denver, Colorado",American,SjcaXyflSrK0PlcgFqgcnw,Meadowlark Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/jBwwwimxrQlTw9pxzACWWg/o.jpg,https://www.yelp.com/biz/meadowlark-kitchen-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,373,4.5,$$,39.7598533630371,-104.984191894531,2705 Larimer St,Denver,CO,80205,US,(303) 953-1815
"Denver, Colorado",American,pMFC9iSrthpcPEUU2TzUkA,Counter Culture Brewery + Grille,https://s3-media2.fl.yelpcdn.com/bphoto/gyGaab7afijnm9h79rOZrw/o.jpg,https://www.yelp.com/biz/counter-culture-brewery-grille-denver-3?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,16,4.5,$$,39.7275241975257,-104.984678279762,205 E 7th Ave,Denver,CO,80203,US,(720) 638-8786
"Denver, Colorado",American,xSjOQkU6-JYbcVorYSidvw,Dunbar Kitchen & Tap House,https://s3-media2.fl.yelpcdn.com/bphoto/SfpRLTRTkG3KY3b8YrOCUA/o.jpg,https://www.yelp.com/biz/dunbar-kitchen-and-tap-house-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,339,4.5,$$,39.75624,-104.97592,2844 Welton St,Denver,CO,80205,US,(720) 630-7641
"Denver, Colorado",American,3asUEG-iok2bunLBp1O_mw,Lowdown Brewery,https://s3-media2.fl.yelpcdn.com/bphoto/4BVCLbTZXqdo_rDVwc5Ezg/o.jpg,https://www.yelp.com/biz/lowdown-brewery-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,429,4.5,$$,39.7293891906738,-104.985748291016,800 Lincoln St,Denver,CO,80203,US,(720) 524-8065
"Denver, Colorado",American,yuzp8qeNTuQBIHzKqYWXPw,Prohibition,https://s3-media4.fl.yelpcdn.com/bphoto/KqgQJhJ4IRL0jgVwH1gkEw/o.jpg,https://www.yelp.com/biz/prohibition-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,542,4.0,$$,39.73987,-104.9809,504 E Colfax Ave,Denver,CO,80203,US,(303) 832-4840
"Denver, Colorado",American,CohjGGw2ZVkXt1kTsXS0_w,The Rotary,https://s3-media3.fl.yelpcdn.com/bphoto/O3jLARZkBPp8lxka0xY4Gg/o.jpg,https://www.yelp.com/biz/the-rotary-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,75,4.5,$$,39.76214,-105.00633,3200 N Pecos St,Denver,CO,80211,US,(303) 900-7759
"Denver, Colorado",American,MoFikk-5Pn7KHK12sll65w,The Lake House Kitchen + Tavern,https://s3-media2.fl.yelpcdn.com/bphoto/fEGmjmeYpithovRTS2_H0g/o.jpg,https://www.yelp.com/biz/the-lake-house-kitchen-tavern-littleton?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,31,4.0,$$,39.609284,-105.08501,8026 W Bowles Ave,Littleton,CO,80123,US,(720) 758-8880
"Denver, Colorado",American,NOkJ14ltntgE4XWS5AgOSA,The Brutal Poodle,https://s3-media4.fl.yelpcdn.com/bphoto/EpK-Bzk4ywLFJKncFJBD4A/o.jpg,https://www.yelp.com/biz/the-brutal-poodle-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,261,4.5,$$,39.680895,-104.987836,1967 South Broadway,Denver,CO,80210,US,(720) 379-6281
"Denver, Colorado",American,XBJYkhpPPQFhIJvp2gjmbQ,Butcher's Bistro,https://s3-media4.fl.yelpcdn.com/bphoto/NYAL27bbChQxrSm9MhsCLw/o.jpg,https://www.yelp.com/biz/butchers-bistro-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,456,4.5,$$,39.7554817,-104.9898071,2233 Larimer St,Denver,CO,80205,US,(303) 296-2750
"Denver, Colorado",American,DEL6pCxqIpYNtUPa-K7BZw,Brazen Neighborhood Eatery,https://s3-media4.fl.yelpcdn.com/bphoto/H9QrbFf0dX3bcTunFO5uqg/o.jpg,https://www.yelp.com/biz/brazen-neighborhood-eatery-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,459,4.5,$$,39.76911,-105.044762,4450 W 38th Ave,Denver,CO,80212,US,(720) 638-1242
"Denver, Colorado",American,Q6ynMAwV8rw3nd-9mQ-GfQ,Rye Society,https://s3-media2.fl.yelpcdn.com/bphoto/rD1GziCxbUBRkUVlK-h7vQ/o.jpg,https://www.yelp.com/biz/rye-society-denver?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,120,4.0,$$,39.76298,-104.97931,3090 N Larimer St,Denver,CO,80205,US,(303) 593-2713
"Denver, Colorado",American,PM7Y1hRf00UicxpP8Rb6tQ,Fire On The Mountain -  Denver,https://s3-media3.fl.yelpcdn.com/bphoto/wU7Eb4sHocHD8SVSaBZCiA/o.jpg,https://www.yelp.com/biz/fire-on-the-mountain-denver-denver-5?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,725,4.0,$$,39.762298,-105.037222,3801 W 32nd Ave,Denver,CO,80211,US,(303) 480-9464
